,Age,Embarked,Fare,Parch,PassengerId,Pclass,Sex,Survived,FamilySize,IsAlone,Has_Cabin,Title
0,22.0,0,0,0,1,3,1,0.0,2,0,0,Mr
1,38.0,1,3,0,2,1,0,1.0,2,0,1,Mrs
2,26.0,0,1,0,3,3,0,1.0,1,1,0,Miss
3,35.0,0,3,0,4,1,0,1.0,2,0,1,Mrs
4,35.0,0,1,0,5,3,1,0.0,1,1,0,Mr
5,28.0,2,1,0,6,3,1,0.0,1,1,0,Mr
6,54.0,0,3,0,7,1,1,0.0,1,1,1,Mr
7,2.0,0,2,1,8,3,1,0.0,5,0,0,Master
8,27.0,0,1,2,9,3,0,1.0,3,0,0,Mrs
9,14.0,1,2,0,10,2,0,1.0,2,0,0,Mrs
10,4.0,0,2,1,11,3,0,1.0,3,0,1,Miss
11,58.0,0,2,0,12,1,0,1.0,1,1,1,Miss
12,20.0,0,1,0,13,3,1,0.0,1,1,0,Mr
13,39.0,0,3,5,14,3,1,0.0,7,0,0,Mr
14,14.0,0,0,0,15,3,0,0.0,1,1,0,Miss
15,55.0,0,2,0,16,2,0,1.0,1,1,0,Mrs
16,2.0,2,2,1,17,3,1,0.0,6,0,0,Master
17,28.0,0,1,0,18,2,1,1.0,1,1,0,Mr
18,31.0,0,2,0,19,3,0,0.0,2,0,0,Mrs
19,28.0,1,0,0,20,3,0,1.0,1,1,0,Mrs
20,35.0,0,2,0,21,2,1,0.0,1,1,0,Mr
21,34.0,0,1,0,22,2,1,1.0,1,1,1,Mr
22,15.0,2,1,0,23,3,0,1.0,1,1,0,Miss
23,28.0,0,3,0,24,1,1,1.0,1,1,1,Mr
24,8.0,0,2,1,25,3,0,0.0,5,0,0,Miss
25,38.0,0,3,5,26,3,0,1.0,7,0,0,Mrs
26,28.0,1,0,0,27,3,1,0.0,1,1,0,Mr
27,19.0,0,3,2,28,1,1,0.0,6,0,1,Mr
28,28.0,2,0,0,29,3,0,1.0,1,1,0,Miss
29,28.0,0,0,0,30,3,1,0.0,1,1,0,Mr
30,40.0,1,2,0,31,1,1,0.0,1,1,0,Rare
31,28.0,1,3,0,32,1,0,1.0,2,0,1,Mrs
32,28.0,2,0,0,33,3,0,1.0,1,1,0,Miss
33,66.0,0,1,0,34,2,1,0.0,1,1,0,Mr
34,28.0,1,3,0,35,1,1,0.0,2,0,0,Mr
35,42.0,0,3,0,36,1,1,0.0,2,0,0,Mr
36,28.0,1,0,0,37,3,1,1.0,1,1,0,Mr
37,21.0,0,1,0,38,3,1,0.0,1,1,0,Mr
38,18.0,0,2,0,39,3,0,0.0,3,0,0,Miss
39,14.0,1,1,0,40,3,0,1.0,2,0,0,Miss
40,40.0,0,1,0,41,3,0,0.0,2,0,0,Mrs
41,27.0,0,2,0,42,2,0,0.0,2,0,0,Mrs
42,28.0,1,0,0,43,3,1,0.0,1,1,0,Mr
43,3.0,1,3,2,44,2,0,1.0,4,0,0,Miss
44,19.0,2,0,0,45,3,0,1.0,1,1,0,Miss
45,28.0,0,1,0,46,3,1,0.0,1,1,0,Mr
46,28.0,2,2,0,47,3,1,0.0,2,0,0,Mr
47,28.0,2,0,0,48,3,0,1.0,1,1,0,Miss
48,28.0,1,2,0,49,3,1,0.0,3,0,0,Mr
49,18.0,0,2,0,50,3,0,0.0,2,0,0,Mrs
50,7.0,0,3,1,51,3,1,0.0,6,0,0,Master
51,21.0,0,0,0,52,3,1,0.0,1,1,0,Mr
52,49.0,1,3,0,53,1,0,1.0,2,0,1,Mrs
53,29.0,0,2,0,54,2,0,1.0,2,0,0,Mrs
54,65.0,1,3,1,55,1,1,0.0,2,0,1,Mr
55,28.0,0,3,0,56,1,1,1.0,1,1,1,Mr
56,21.0,0,1,0,57,2,0,1.0,1,1,0,Miss
57,28.5,1,0,0,58,3,1,0.0,1,1,0,Mr
58,5.0,0,2,2,59,2,0,1.0,4,0,0,Miss
59,11.0,0,3,2,60,3,1,0.0,8,0,0,Master
60,22.0,1,0,0,61,3,1,0.0,1,1,0,Mr
61,38.0,0,3,0,62,1,0,1.0,1,1,1,Miss
62,45.0,0,3,0,63,1,1,0.0,2,0,1,Mr
63,4.0,0,2,2,64,3,1,0.0,6,0,0,Master
64,28.0,1,2,0,65,1,1,0.0,1,1,0,Mr
65,28.0,1,2,1,66,3,1,1.0,3,0,0,Master
66,29.0,0,1,0,67,2,0,1.0,1,1,1,Mrs
67,19.0,0,1,0,68,3,1,0.0,1,1,0,Mr
68,17.0,0,1,2,69,3,0,1.0,7,0,0,Miss
69,26.0,0,1,0,70,3,1,0.0,3,0,0,Mr
70,32.0,0,1,0,71,2,1,0.0,1,1,0,Mr
71,16.0,0,3,2,72,3,0,0.0,8,0,0,Miss
72,21.0,0,3,0,73,2,1,0.0,1,1,0,Mr
73,26.0,1,2,0,74,3,1,0.0,2,0,0,Mr
74,32.0,0,3,0,75,3,1,1.0,1,1,0,Mr
75,25.0,0,0,0,76,3,1,0.0,1,1,1,Mr
76,28.0,0,0,0,77,3,1,0.0,1,1,0,Mr
77,28.0,0,1,0,78,3,1,0.0,1,1,0,Mr
78,0.83,0,2,2,79,2,1,1.0,3,0,0,Master
79,30.0,0,1,0,80,3,0,1.0,1,1,0,Miss
80,22.0,0,1,0,81,3,1,0.0,1,1,0,Mr
81,29.0,0,1,0,82,3,1,1.0,1,1,0,Mr
82,28.0,2,0,0,83,3,0,1.0,1,1,0,Miss
83,28.0,0,3,0,84,1,1,0.0,1,1,0,Mr
84,17.0,0,1,0,85,2,0,1.0,1,1,0,Miss
85,33.0,0,2,0,86,3,0,1.0,4,0,0,Mrs
86,16.0,0,3,3,87,3,1,0.0,5,0,0,Mr
87,28.0,0,1,0,88,3,1,0.0,1,1,0,Mr
88,23.0,0,3,2,89,1,0,1.0,6,0,1,Miss
89,24.0,0,1,0,90,3,1,0.0,1,1,0,Mr
90,29.0,0,1,0,91,3,1,0.0,1,1,0,Mr
91,20.0,0,0,0,92,3,1,0.0,1,1,0,Mr
92,46.0,0,3,0,93,1,1,0.0,2,0,1,Mr
93,26.0,0,2,2,94,3,1,0.0,4,0,0,Mr
94,59.0,0,0,0,95,3,1,0.0,1,1,0,Mr
95,28.0,0,1,0,96,3,1,0.0,1,1,0,Mr
96,71.0,1,3,0,97,1,1,0.0,1,1,1,Mr
97,23.0,1,3,1,98,1,1,1.0,2,0,1,Mr
98,34.0,0,2,1,99,2,0,1.0,2,0,0,Mrs
99,34.0,0,2,0,100,2,1,0.0,2,0,0,Mr
100,28.0,0,0,0,101,3,0,0.0,1,1,0,Miss
101,28.0,0,0,0,102,3,1,0.0,1,1,0,Mr
102,21.0,0,3,1,103,1,1,0.0,2,0,1,Mr
103,33.0,0,1,0,104,3,1,0.0,1,1,0,Mr
104,37.0,0,1,0,105,3,1,0.0,3,0,0,Mr
105,28.0,0,0,0,106,3,1,0.0,1,1,0,Mr
106,21.0,0,0,0,107,3,0,1.0,1,1,0,Miss
107,28.0,0,0,0,108,3,1,1.0,1,1,0,Mr
108,38.0,0,0,0,109,3,1,0.0,1,1,0,Mr
109,28.0,2,2,0,110,3,0,1.0,2,0,0,Miss
110,47.0,0,3,0,111,1,1,0.0,1,1,1,Mr
111,14.5,1,2,0,112,3,0,0.0,2,0,0,Miss
112,22.0,0,1,0,113,3,1,0.0,1,1,0,Mr
113,20.0,0,1,0,114,3,0,0.0,2,0,0,Miss
114,17.0,1,2,0,115,3,0,0.0,1,1,0,Miss
115,21.0,0,1,0,116,3,1,0.0,1,1,0,Mr
116,70.5,2,0,0,117,3,1,0.0,1,1,0,Mr
117,29.0,0,2,0,118,2,1,0.0,2,0,0,Mr
118,24.0,1,3,1,119,1,1,0.0,2,0,1,Mr
119,2.0,0,3,2,120,3,0,0.0,7,0,0,Miss
120,21.0,0,3,0,121,2,1,0.0,3,0,0,Mr
121,28.0,0,1,0,122,3,1,0.0,1,1,0,Mr
122,32.5,1,2,0,123,2,1,0.0,2,0,0,Mr
123,32.5,0,1,0,124,2,0,1.0,1,1,1,Miss
124,54.0,0,3,1,125,1,1,0.0,2,0,1,Mr
125,12.0,1,1,0,126,3,1,1.0,2,0,0,Master
126,28.0,2,0,0,127,3,1,0.0,1,1,0,Mr
127,24.0,0,0,0,128,3,1,1.0,1,1,0,Mr
128,28.0,1,2,1,129,3,0,1.0,3,0,1,Miss
129,45.0,0,0,0,130,3,1,0.0,1,1,0,Mr
130,33.0,1,0,0,131,3,1,0.0,1,1,0,Mr
131,20.0,0,0,0,132,3,1,0.0,1,1,0,Mr
132,47.0,0,2,0,133,3,0,0.0,2,0,0,Mrs
133,29.0,0,2,0,134,2,0,1.0,2,0,0,Mrs
134,25.0,0,1,0,135,2,1,0.0,1,1,0,Mr
135,23.0,1,2,0,136,2,1,0.0,1,1,0,Mr
136,19.0,0,2,2,137,1,0,1.0,3,0,1,Miss
137,37.0,0,3,0,138,1,1,0.0,2,0,1,Mr
138,16.0,0,1,0,139,3,1,0.0,1,1,0,Mr
139,24.0,1,3,0,140,1,1,0.0,1,1,1,Mr
140,28.0,1,2,2,141,3,0,0.0,3,0,0,Mrs
141,22.0,0,0,0,142,3,0,1.0,1,1,0,Miss
142,24.0,0,2,0,143,3,0,1.0,2,0,0,Mrs
143,19.0,2,0,0,144,3,1,0.0,1,1,0,Mr
144,18.0,0,1,0,145,2,1,0.0,1,1,0,Mr
145,19.0,0,3,1,146,2,1,0.0,3,0,0,Mr
146,27.0,0,0,0,147,3,1,1.0,1,1,0,Mr
147,9.0,0,3,2,148,3,0,0.0,5,0,0,Miss
148,36.5,0,2,2,149,2,1,0.0,3,0,1,Mr
149,42.0,0,1,0,150,2,1,0.0,1,1,0,Rare
150,51.0,0,1,0,151,2,1,0.0,1,1,0,Rare
151,22.0,0,3,0,152,1,0,1.0,2,0,1,Mrs
152,55.5,0,1,0,153,3,1,0.0,1,1,0,Mr
153,40.5,0,2,2,154,3,1,0.0,3,0,0,Mr
154,28.0,0,0,0,155,3,1,0.0,1,1,0,Mr
155,51.0,1,3,1,156,1,1,0.0,2,0,0,Mr
156,16.0,2,0,0,157,3,0,1.0,1,1,0,Miss
157,30.0,0,1,0,158,3,1,0.0,1,1,0,Mr
158,28.0,0,1,0,159,3,1,0.0,1,1,0,Mr
159,28.0,0,3,2,160,3,1,0.0,11,0,0,Master
160,44.0,0,2,1,161,3,1,0.0,2,0,0,Mr
161,40.0,0,2,0,162,2,0,1.0,1,1,0,Mrs
162,26.0,0,0,0,163,3,1,0.0,1,1,0,Mr
163,17.0,0,1,0,164,3,1,0.0,1,1,0,Mr
164,1.0,0,3,1,165,3,1,0.0,6,0,0,Master
165,9.0,0,2,2,166,3,1,1.0,3,0,0,Master
166,28.0,0,3,1,167,1,0,1.0,2,0,1,Mrs
167,45.0,0,2,4,168,3,0,0.0,6,0,0,Mrs
168,28.0,0,2,0,169,1,1,0.0,1,1,0,Mr
169,28.0,0,3,0,170,3,1,0.0,1,1,0,Mr
170,61.0,0,3,0,171,1,1,0.0,1,1,1,Mr
171,4.0,2,2,1,172,3,1,0.0,6,0,0,Master
172,1.0,0,1,1,173,3,0,1.0,3,0,0,Miss
173,21.0,0,1,0,174,3,1,0.0,1,1,0,Mr
174,56.0,1,2,0,175,1,1,0.0,1,1,1,Mr
175,18.0,0,0,1,176,3,1,0.0,3,0,0,Mr
176,28.0,0,2,1,177,3,1,0.0,5,0,0,Master
177,50.0,1,2,0,178,1,0,0.0,1,1,1,Miss
178,30.0,0,1,0,179,2,1,0.0,1,1,0,Mr
179,36.0,0,0,0,180,3,1,0.0,1,1,0,Mr
180,28.0,0,3,2,181,3,0,0.0,11,0,0,Miss
181,28.0,1,2,0,182,2,1,0.0,1,1,0,Mr
182,9.0,0,3,2,183,3,1,0.0,7,0,0,Master
183,1.0,0,3,1,184,2,1,1.0,4,0,1,Master
184,4.0,0,2,2,185,3,0,1.0,3,0,0,Miss
185,28.0,0,3,0,186,1,1,0.0,1,1,1,Mr
186,28.0,2,2,0,187,3,0,1.0,2,0,0,Mrs
187,45.0,0,2,0,188,1,1,1.0,1,1,0,Mr
188,40.0,2,2,1,189,3,1,0.0,3,0,0,Mr
189,36.0,0,0,0,190,3,1,0.0,1,1,0,Mr
190,32.0,0,1,0,191,2,0,1.0,1,1,0,Mrs
191,19.0,0,1,0,192,2,1,0.0,1,1,0,Mr
192,19.0,0,0,0,193,3,0,1.0,2,0,0,Miss
193,3.0,0,2,1,194,2,1,1.0,3,0,1,Master
194,44.0,1,2,0,195,1,0,1.0,1,1,1,Mrs
195,58.0,1,3,0,196,1,0,1.0,1,1,1,Miss
196,28.0,2,0,0,197,3,1,0.0,1,1,0,Mr
197,42.0,0,1,1,198,3,1,0.0,2,0,0,Mr
198,28.0,2,0,0,199,3,0,1.0,1,1,0,Miss
199,24.0,0,1,0,200,2,0,0.0,1,1,0,Miss
200,28.0,0,1,0,201,3,1,0.0,1,1,0,Mr
201,28.0,0,3,2,202,3,1,0.0,11,0,0,Mr
202,34.0,0,0,0,203,3,1,0.0,1,1,0,Mr
203,45.5,1,0,0,204,3,1,0.0,1,1,0,Mr
204,18.0,0,1,0,205,3,1,1.0,1,1,0,Mr
205,2.0,0,1,1,206,3,0,0.0,2,0,1,Miss
206,32.0,0,2,0,207,3,1,0.0,2,0,0,Mr
207,26.0,1,2,0,208,3,1,1.0,1,1,0,Mr
208,16.0,2,0,0,209,3,0,1.0,1,1,0,Miss
209,40.0,1,2,0,210,1,1,1.0,1,1,1,Mr
210,24.0,0,0,0,211,3,1,0.0,1,1,0,Mr
211,35.0,0,2,0,212,2,0,1.0,1,1,0,Miss
212,22.0,0,0,0,213,3,1,0.0,1,1,0,Mr
213,30.0,0,1,0,214,2,1,0.0,1,1,0,Mr
214,28.0,2,0,0,215,3,1,0.0,2,0,0,Mr
215,31.0,1,3,0,216,1,0,1.0,2,0,1,Miss
216,27.0,0,1,0,217,3,0,1.0,1,1,0,Miss
217,42.0,0,2,0,218,2,1,0.0,2,0,0,Mr
218,32.0,1,3,0,219,1,0,1.0,1,1,1,Miss
219,30.0,0,1,0,220,2,1,0.0,1,1,0,Mr
220,16.0,0,1,0,221,3,1,1.0,1,1,0,Mr
221,27.0,0,1,0,222,2,1,0.0,1,1,0,Mr
222,51.0,0,1,0,223,3,1,0.0,1,1,0,Mr
223,28.0,0,0,0,224,3,1,0.0,1,1,0,Mr
224,38.0,0,3,0,225,1,1,1.0,2,0,1,Mr
225,22.0,0,1,0,226,3,1,0.0,1,1,0,Mr
226,19.0,0,1,0,227,2,1,1.0,1,1,0,Mr
227,20.5,0,0,0,228,3,1,0.0,1,1,0,Mr
228,18.0,0,1,0,229,2,1,0.0,1,1,0,Mr
229,28.0,0,2,1,230,3,0,0.0,5,0,0,Miss
230,35.0,0,3,0,231,1,0,1.0,2,0,1,Mrs
231,29.0,0,0,0,232,3,1,0.0,1,1,0,Mr
232,59.0,0,1,0,233,2,1,0.0,1,1,0,Mr
233,5.0,0,3,2,234,3,0,1.0,7,0,0,Miss
234,24.0,0,1,0,235,2,1,0.0,1,1,0,Mr
235,28.0,0,0,0,236,3,0,0.0,1,1,0,Miss
236,44.0,0,2,0,237,2,1,0.0,2,0,0,Mr
237,8.0,0,2,2,238,2,0,1.0,3,0,0,Miss
238,19.0,0,1,0,239,2,1,0.0,1,1,0,Mr
239,33.0,0,1,0,240,2,1,0.0,1,1,0,Mr
240,28.0,1,2,0,241,3,0,0.0,2,0,0,Miss
241,28.0,2,2,0,242,3,0,1.0,2,0,0,Miss
242,29.0,0,1,0,243,2,1,0.0,1,1,0,Mr
243,22.0,0,0,0,244,3,1,0.0,1,1,0,Mr
244,30.0,1,0,0,245,3,1,0.0,1,1,0,Mr
245,44.0,2,3,0,246,1,1,0.0,3,0,1,Rare
246,25.0,0,0,0,247,3,0,0.0,1,1,0,Miss
247,24.0,0,2,2,248,2,0,1.0,3,0,0,Mrs
248,37.0,0,3,1,249,1,1,1.0,3,0,1,Mr
249,54.0,0,2,0,250,2,1,0.0,2,0,0,Rare
250,28.0,0,0,0,251,3,1,0.0,1,1,0,Mr
251,29.0,0,1,1,252,3,0,0.0,3,0,1,Mrs
252,62.0,0,2,0,253,1,1,0.0,1,1,1,Mr
253,30.0,0,2,0,254,3,1,0.0,2,0,0,Mr
254,41.0,0,2,2,255,3,0,0.0,3,0,0,Mrs
255,29.0,1,2,2,256,3,0,1.0,3,0,0,Mrs
256,28.0,1,3,0,257,1,0,1.0,1,1,0,Mrs
257,30.0,0,3,0,258,1,0,1.0,1,1,1,Miss
258,35.0,1,3,0,259,1,0,1.0,1,1,0,Miss
259,50.0,0,2,1,260,2,0,1.0,2,0,0,Mrs
260,28.0,2,0,0,261,3,1,0.0,1,1,0,Mr
261,3.0,0,3,2,262,3,1,1.0,7,0,0,Master
262,52.0,0,3,1,263,1,1,0.0,3,0,1,Mr
263,40.0,0,0,0,264,1,1,0.0,1,1,1,Mr
264,28.0,2,0,0,265,3,0,0.0,1,1,0,Miss
265,36.0,0,1,0,266,2,1,0.0,1,1,0,Mr
266,16.0,0,3,1,267,3,1,0.0,6,0,0,Mr
267,25.0,0,0,0,268,3,1,1.0,2,0,0,Mr
268,58.0,0,3,1,269,1,0,1.0,2,0,1,Mrs
269,35.0,0,3,0,270,1,0,1.0,1,1,1,Miss
270,28.0,0,2,0,271,1,1,0.0,1,1,0,Mr
271,25.0,0,0,0,272,3,1,1.0,1,1,0,Mr
272,41.0,0,2,1,273,2,0,1.0,2,0,0,Mrs
273,37.0,1,2,1,274,1,1,0.0,2,0,1,Mr
274,28.0,2,0,0,275,3,0,1.0,1,1,0,Miss
275,63.0,0,3,0,276,1,0,1.0,2,0,1,Miss
276,45.0,0,0,0,277,3,0,0.0,1,1,0,Miss
277,28.0,0,0,0,278,2,1,0.0,1,1,0,Mr
278,7.0,2,2,1,279,3,1,0.0,6,0,0,Master
279,35.0,0,2,1,280,3,0,1.0,3,0,0,Mrs
280,65.0,2,0,0,281,3,1,0.0,1,1,0,Mr
281,28.0,0,0,0,282,3,1,0.0,1,1,0,Mr
282,16.0,0,1,0,283,3,1,0.0,1,1,0,Mr
283,19.0,0,1,0,284,3,1,1.0,1,1,0,Mr
284,28.0,0,2,0,285,1,1,0.0,1,1,1,Mr
285,33.0,1,1,0,286,3,1,0.0,1,1,0,Mr
286,30.0,0,1,0,287,3,1,1.0,1,1,0,Mr
287,22.0,0,0,0,288,3,1,0.0,1,1,0,Mr
288,42.0,0,1,0,289,2,1,1.0,1,1,0,Mr
289,22.0,2,0,0,290,3,0,1.0,1,1,0,Miss
290,26.0,0,3,0,291,1,0,1.0,1,1,0,Miss
291,19.0,1,3,0,292,1,0,1.0,2,0,1,Mrs
292,36.0,1,1,0,293,2,1,0.0,1,1,1,Mr
293,24.0,0,1,0,294,3,0,0.0,1,1,0,Miss
294,24.0,0,0,0,295,3,1,0.0,1,1,0,Mr
295,28.0,1,2,0,296,1,1,0.0,1,1,0,Mr
296,23.5,1,0,0,297,3,1,0.0,1,1,0,Mr
297,2.0,0,3,2,298,1,0,0.0,4,0,1,Miss
298,28.0,0,2,0,299,1,1,1.0,1,1,1,Mr
299,50.0,1,3,1,300,1,0,1.0,2,0,1,Mrs
300,28.0,2,0,0,301,3,0,1.0,1,1,0,Miss
301,28.0,2,2,0,302,3,1,1.0,3,0,0,Mr
302,19.0,0,0,0,303,3,1,0.0,1,1,0,Mr
303,28.0,2,1,0,304,2,0,1.0,1,1,1,Miss
304,28.0,0,1,0,305,3,1,0.0,1,1,0,Mr
305,0.92,0,3,2,306,1,1,1.0,4,0,1,Master
306,28.0,1,3,0,307,1,0,1.0,1,1,0,Miss
307,17.0,1,3,0,308,1,0,1.0,2,0,1,Mrs
308,30.0,1,2,0,309,2,1,0.0,2,0,0,Mr
309,30.0,1,3,0,310,1,0,1.0,1,1,1,Miss
310,24.0,1,3,0,311,1,0,1.0,1,1,1,Miss
311,18.0,1,3,2,312,1,0,1.0,5,0,1,Miss
312,26.0,0,2,1,313,2,0,0.0,3,0,0,Mrs
313,28.0,0,0,0,314,3,1,0.0,1,1,0,Mr
314,43.0,0,2,1,315,2,1,0.0,3,0,0,Mr
315,26.0,0,0,0,316,3,0,1.0,1,1,0,Miss
316,24.0,0,2,0,317,2,0,1.0,2,0,0,Mrs
317,54.0,0,1,0,318,2,1,0.0,1,1,0,Rare
318,31.0,0,3,2,319,1,0,1.0,3,0,1,Miss
319,40.0,1,3,1,320,1,0,1.0,3,0,1,Mrs
320,22.0,0,0,0,321,3,1,0.0,1,1,0,Mr
321,27.0,0,0,0,322,3,1,0.0,1,1,0,Mr
